Name,Age,Salary
Kamal,40,66373
Vijay,59,41319
Mahesh,34,51678
Venugopal,28,65872
Ramu,51,42338
Ramu,53,16578
Ajay,27,40882
Shyamu,44,29013
Suresh,26,50079
Mahesh,46,71784
Suresh,29,59377
Venugopal,28,47677
Anil,60,36775
Shyamu,53,71240
Ajay,34,30354
Sunil,48,61778
Ajay,49,57768
Ajay,45,28232
Vijay,57,51747
Kamal,36,31698
Ajay,46,27303
Naresh,54,65067
Anil,59,64243
Shyamu,26,51889
Rakesh,46,32434
Shyamu,37,75304
Naresh,48,60622
Kamal,25,24793
Rajesh,48,65653
Naresh,28,70012
Vijay,51,42179
Mahesh,21,45823
Shyamu,35,62457
Vijay,26,69516
Sunil,48,32514
Naresh,21,53994
Sanjay,30,32134
Mukesh,26,70915
Suresh,34,76721
Ramu,58,20289
Venugopal,49,18777
Naresh,58,69758
Sunil,49,78924
Ajay,25,68695
Mahesh,55,17759
Sunil,21,78011
Naresh,53,18445
Ajay,49,27345
Mahesh,55,29618
Suresh,39,42837
Shyamu,49,75441
Rakesh,28,79830
Vijay,37,50932
Sunil,41,20910
Rajesh,48,56525
Sunil,27,44689
Vijay,31,64739
Kamal,41,28750
Kamal,36,61143
Sunil,42,20690
Shyamu,33,53883
Vijay,30,30371
Suresh,30,27708
Sanjay,36,59038
Venugopal,42,49849
Suresh,58,45276
Vijay,42,17983
Mukesh,59,56763
Venugopal,59,71710
Sunil,55,60310
Rajesh,32,64693
Venugopal,29,38316
Ajay,21,66010
Venugopal,56,58663
Mahesh,52,36807
Suresh,30,65759
Naresh,44,42153
Ramu,36,22052
Rakesh,29,18445
Venugopal,29,28939
Suresh,52,15627
Naresh,50,40100
Naresh,58,19957
Sanjay,55,50217
Anil,51,71762
Anil,46,36685
Ajay,26,48561
Kamal,51,29849
Anil,43,32645
Ramu,58,69402
Venugopal,23,63371
Rakesh,29,46427
Shyamu,28,35131
Mahesh,26,71255
Anil,58,32385
Mahesh,49,68014
Vijay,48,44454
Rajesh,58,29726
Kamal,43,23680
Venugopal,26,25473
Suresh,42,38368
Ramu,49,62844
Rajesh,29,40525
Kamal,52,37530
Shyamu,53,27007
Anil,47,33145
Vijay,37,31837
Mahesh,44,47569
Venugopal,31,74775
Ramu,29,54937
Ajay,31,15946
Naresh,34,35354
Sanjay,52,18501
Anil,22,44708
Mahesh,46,58713
Rakesh,51,60906
Sanjay,54,28889
Sunil,37,26706
Shyamu,29,19068
Sanjay,38,70121
Sunil,27,15716
Anil,47,58462
Ajay,38,67730
Kamal,29,59512
Vijay,30,68443
Shyamu,54,74854
Shyamu,53,50209
Kamal,60,79854
Shyamu,46,51499
Ramu,28,43889
Shyamu,36,38067
Mahesh,38,29830
Mahesh,39,22180
Sanjay,55,23332
Sanjay,57,76165
Rakesh,45,54973
Mukesh,48,72053
Ajay,30,79122
Kamal,21,39909
Rakesh,50,24058
Kamal,59,55553
Naresh,30,74772
Mukesh,60,64809
Rakesh,57,70896
Rakesh,42,66721
Venugopal,26,49854
Mukesh,58,59030
Sunil,41,41872
Suresh,34,40154
Ramu,27,61745
Sunil,56,50884
Venugopal,44,64426
Ramu,29,54701
Sanjay,46,30716
Mahesh,37,24682
Naresh,26,58406
Mukesh,28,68691
Ajay,29,49795
Anil,46,61594
Shyamu,26,23387
Naresh,58,18042
Mahesh,21,77789
Ramu,28,23631
Kamal,33,49312
Mahesh,59,69678
Sanjay,26,41592
Sunil,57,60776
Venugopal,60,77255
Ramu,28,17309
Rajesh,47,54572
Anil,38,37923
Shyamu,50,49955
Mukesh,42,24714
Rajesh,43,51328
Anil,26,74382
Anil,40,37687
Vijay,54,22182
Venugopal,56,66923
Shyamu,30,68495
Anil,38,35616
Ajay,36,57327
Sanjay,24,41026
Anil,34,61810
Mahesh,39,15924
Suresh,47,59144
Rajesh,50,16975
Ajay,35,52968
Vijay,49,30190
Rakesh,40,31332
Suresh,27,57994
Ajay,38,39980
Vijay,38,54800
Shyamu,57,21749
Ramu,41,43962
Suresh,60,23780
Sunil,34,30579
Rajesh,32,32483
Shyamu,31,51721
Sunil,44,57202
Sunil,39,66066
Ajay,27,36266
Kamal,60,70804
Suresh,23,47633
Venugopal,48,74209
Venugopal,37,55500
Rajesh,49,69978
Mukesh,44,28140
Anil,38,64078
Kamal,41,59070
Kamal,40,76733
Rakesh,47,33009
Ajay,23,60960
Anil,51,37004
Mahesh,45,55914
Suresh,51,79433
Sanjay,30,44852
Vijay,45,61530
Venugopal,57,23957
Rajesh,45,20978
Naresh,26,49446
Mukesh,23,69577
Shyamu,52,47334
Suresh,29,27100
Mukesh,32,62666
Mukesh,47,55440
Anil,50,56977
Rakesh,29,58852
Suresh,54,57914
Rakesh,49,62366
Mahesh,56,71703
Sanjay,22,65966
Kamal,35,40854
Mukesh,54,73140
Mahesh,29,18189
Sanjay,44,37081
Mukesh,30,63937
Venugopal,30,27903
Vijay,26,43075
Suresh,27,78769
Rajesh,27,34630
Anil,60,20642
Anil,44,63109
Anil,23,76421
Ajay,21,44497
Ajay,42,29017
Naresh,40,19946
Rajesh,23,45115
Mahesh,40,77471
Ramu,27,29460
Kamal,32,27315
Suresh,58,78723
Rajesh,51,28139
Sanjay,46,79024
Ajay,22,64961
Rakesh,45,70886
Ramu,57,44102
Anil,35,43918
Mukesh,59,78656
Rajesh,41,75453
Venugopal,41,42098
Suresh,34,44007
Anil,31,43654
Naresh,33,64497
Mahesh,48,32382
Sanjay,22,54905
Ajay,29,44541
Naresh,47,15314
Kamal,21,72512
Kamal,28,71317
Rajesh,43,74289
Venugopal,48,15730
Rajesh,31,51107
Ramu,35,20199
Shyamu,29,28996
Mahesh,38,46721
Rakesh,49,58636
Rakesh,43,18458
Kamal,26,48359
Rajesh,36,41455
Naresh,36,24543
Ramu,53,67886
Mukesh,46,15985
Naresh,57,79937
Mukesh,26,29542
Ramu,51,44605
Mukesh,59,15713
Venugopal,33,76308
Sanjay,38,52643
Rajesh,56,65459
Mukesh,41,78103
Mukesh,30,17603
Sunil,51,54847
Kamal,44,75307
Vijay,58,62168
Sunil,50,53807
Mahesh,45,41711
Sunil,38,46963
Mahesh,34,23668
Mukesh,57,51740
Shyamu,47,74736
Naresh,53,56278
Anil,24,44024
Shyamu,59,21714
Suresh,30,63747
Mukesh,30,34620
Kamal,31,59522
Mahesh,50,38482
Rajesh,44,53098
Sanjay,39,43650
Suresh,55,79068
Sunil,38,25310
Anil,29,62329
Naresh,26,67335
Kamal,42,22500
Suresh,48,47999
Vijay,35,59891
Venugopal,21,17296
Sunil,48,75851
Mahesh,22,61937
Naresh,44,57062
Anil,23,64195
Sunil,33,61165
Ajay,60,26805
Sanjay,53,74379
Mukesh,36,62777
Rakesh,54,77680
Shyamu,29,32974
Sunil,36,69157
Ramu,23,56487
Ramu,36,25326
Rajesh,23,61123
Ramu,33,22955
Anil,35,43960
Rakesh,53,71103
Vijay,38,48230
Sanjay,49,59795
Naresh,43,75815
Anil,54,79411
Rakesh,57,73907
Naresh,40,36840
Sanjay,47,35609
Anil,27,76354
Mukesh,32,44337
Anil,27,27850
Anil,21,31323
Rajesh,22,35108
Sanjay,56,66883
Anil,51,61617
Kamal,31,70414
Rakesh,45,21700
Ramu,38,32761
Rajesh,32,48032
Suresh,56,59684
Naresh,58,64282
Ajay,57,52108
Ajay,43,45689
Rakesh,24,17671
Vijay,32,61420
Sanjay,38,26650
Rajesh,31,63834
Ramu,52,47329
Ramu,31,31806
Suresh,55,18972
Sanjay,49,72369
Vijay,34,56354
Shyamu,58,37683
